  202	  85	  90
  86	  24	  25
 118	  50	 117
 133	  65	 132
  89	  87	  38
 113	  12	  60
  81	   6	   5
  82	   6	  81
 243	 206	  83
  83	   8	  82
 243	  81	 146
 147	  84	  10
 202	 144	 142
  90	  85	  18
 151	  91	  92
  91	  90	  19
 203	 197	 151
  92	  91	  20
  93	  92	  21
  86	  23	  24
  24	  23	   2
 150	  23	  86
  94	  86	  25
  95	  94	  26
  96	  95	  27
  97	  96	  28
  98	  97	  29
  99	  98	  30
 100	  99	  31
 101	 100	  32
 102	  34	  88
 103	  88	  35
 104	 103	  36
 105	 104	  37
 176	 116	 152
 106	  89	  39
 107	 106	  40
 108	 107	  41
 109	 108	  42
 110	 109	  43
 111	 110	  44
 112	 111	  45
 127	  59	 126
 114	   4	  84
  74	  47	  13
 115	  47	  74
 116	  48	 115
 152	 115	 149
 117	  49	 116
 119	  51	 118
 153	 120	 119
 154	 120	 153
 155	 121	 154
 156	 122	 155
 157	 123	 156
 158	 124	 157
 159	 125	 158
 160	 126	 159
 236	 234	 198
 234	 173	 209
 162	 130	 129
 163	 130	 162
 164	 131	 163
 165	 132	 164
 134	  66	 133
 166	 135	 134
 167	 135	 166
 168	 136	 167
 138	  70	 137
 139	  71	 138
 140	  72	 139
 149	  74	  73
 142	 141	  85
 141	  78	  79
 205	 141	  79
 205	  16	 141
 205	  80	  15
  80	   1	  15
  84	  11	  10
  81	   5	  12
  82	   8	   7
  82	   7	   6
 147	   9	  83
  83	   9	   8
 237	 200	 160
  84	   4	  11
  85	  17	  18
  90	  18	  19
  94	  25	  26
 169	 151	  92
  87	   3	  38
  89	  38	  39
  88	  34	  35
 103	  35	  36
 106	  39	  40
 120	  52	 119
  91	  19	  20
 144	  77	 142
  92	  20	  21
 145	  76	 144
  93	  21	  22
 242	 232	 241
 150	  93	  22
 170	 169	  93
  95	  26	  27
 171	 170	  94
  96	  27	  28
 172	  96	 161
  97	  28	  29
 241	 232	 208
  98	  29	  30
 234	 209	 198
  99	  30	  31
 129	  61	 128
 100	  31	  32
 130	  62	 129
 101	  32	  33
 131	  63	 130
 102	 101	  33
 132	  64	 131
 102	  33	  34
 174	 133	 165
 104	  36	  37
 135	  67	 134
 105	  37	   3
 136	  68	 135
 214	 211	 179
 137	  69	 136
 107	  40	  41
 121	  53	 120
 108	  41	  42
 122	  54	 121
 109	  42	  43
 123	  55	 122
